iter	Logloss
0	0.6589946628
1	0.6296145223
2	0.6047827555
3	0.5833406576
4	0.5654331258
5	0.5487984823
6	0.5347639364
7	0.5234990472
8	0.5140136244
9	0.5054136081
10	0.4974832696
11	0.4909605713
12	0.4860303853
13	0.4807907986
14	0.4766338603
15	0.4729823201
16	0.4694102885
17	0.4669837545
18	0.4646090902
19	0.4624921265
20	0.4606254985
21	0.4587563307
22	0.4574219394
23	0.4563272841
24	0.4551691962
25	0.4540599535
26	0.4530570543
27	0.4521150004
28	0.451596405
29	0.4510186293
30	0.4503216281
31	0.4499292569
32	0.4493014628
33	0.4489139642
34	0.4486147325
35	0.4482086283
36	0.4479550442
37	0.4476579217
38	0.4474088609
39	0.4471953939
40	0.447023312
41	0.4467562391
42	0.4466298591
43	0.4463796963
44	0.4462708571
45	0.4460931871
46	0.4460166558
47	0.4459301419
48	0.4458222894
49	0.445725257
50	0.4455821771
51	0.4454063449
52	0.4453117167
53	0.44523506
54	0.4451512248
55	0.4450321757
56	0.4449655219
57	0.4448780789
58	0.4448262092
59	0.4447447679
60	0.4446920505
61	0.4446372409
62	0.4446012472
63	0.4445344204
64	0.444493181
65	0.4444528673
66	0.4444108412
67	0.4443507148
68	0.4443062948
69	0.444275472
70	0.4442074449
71	0.4441597527
72	0.44413424
73	0.4441046312
74	0.4440642768
75	0.4440417243
76	0.4440126173
77	0.4439926046
78	0.44395519
79	0.4439054091
80	0.4438744541
81	0.4438264872
82	0.4438084819
83	0.4437876824
84	0.4437645399
85	0.4437277154
86	0.443698015
87	0.4436716682
88	0.4436511061
89	0.4436204631
90	0.4435925225
91	0.4435667386
92	0.4435394558
93	0.4434902717
94	0.443459632
95	0.4434037679
96	0.4433787062
97	0.4433563605
98	0.4433315803
99	0.443307329
100	0.4432867432
101	0.4432711555
102	0.443235572
103	0.4432264913
104	0.4432002428
105	0.4431720513
106	0.4431489326
107	0.4431210429
108	0.4430916172
109	0.4430671014
110	0.4430469937
111	0.4430315247
112	0.4430083076
113	0.4429809096
114	0.4429503004
115	0.4429258084
116	0.4428964776
117	0.4428568895
118	0.4428317227
119	0.4428106316
120	0.4427909614
121	0.4427540215
122	0.4427256843
123	0.4426955363
124	0.4426724887
125	0.4426525913
126	0.44262559
127	0.442606625
128	0.4425913188
129	0.4425682204
130	0.4425584513
131	0.4425353868
132	0.4425065274
133	0.44249096
134	0.4424777425
135	0.4424575399
136	0.442435262
137	0.4424171075
138	0.4424077488
139	0.4423940667
140	0.4423669298
141	0.4423385281
142	0.4423036838
143	0.442287384
144	0.442270206
145	0.4422508918
146	0.4422253079
147	0.4421934781
148	0.442160041
149	0.4421444363
150	0.4421157701
151	0.4420908305
152	0.4420494181
153	0.4420344238
154	0.4419844225
155	0.441972758
156	0.4419557054
157	0.4419383545
158	0.4419172194
159	0.4418965658
160	0.4418742337
161	0.4418617859
162	0.4418503961
163	0.4418390299
164	0.4418071086
165	0.4417844679
166	0.4417646552
167	0.441755483
168	0.4417264913
169	0.441704912
170	0.4416719903
171	0.4416443041
172	0.4416261088
173	0.4416043226
174	0.4415652737
175	0.4415437995
176	0.44152339
177	0.4415004408
178	0.4414586148
179	0.4414388292
180	0.441409434
181	0.4413894314
182	0.4413629557
183	0.4413334859
184	0.4413107266
185	0.441267534
186	0.4412471551
187	0.4412222019
188	0.4411959975
189	0.441160458
190	0.4411331991
191	0.4410950148
192	0.4410653551
193	0.4410338847
194	0.4409976739
195	0.4409748603
196	0.4409419827
197	0.4409030389
198	0.4408686625
199	0.4408334724
200	0.4408008016
201	0.440773902
202	0.4407482368
203	0.440705997
204	0.4406792026
205	0.4406422763
206	0.4406080085
207	0.440576138
208	0.4405580377
209	0.440530738
210	0.4405071682
211	0.4404867316
212	0.4404551866
213	0.4404261712
214	0.4403925883
215	0.4403692932
216	0.4403335503
217	0.4403054945
218	0.4402750414
219	0.4402519836
220	0.4402130127
221	0.4401631571
222	0.4401461622
223	0.4401150038
224	0.4400876329
225	0.440070204
226	0.4400461697
227	0.4400118103
228	0.4399910855
229	0.4399597371
230	0.4399385478
231	0.4399073351
232	0.4398684523
233	0.4398450656
234	0.4398300917
235	0.4398041043
236	0.4397789985
237	0.4397491014
238	0.4397190552
239	0.4396945631
240	0.4396663479
241	0.4396416999
242	0.4396250407
243	0.4395912306
244	0.4395621914
245	0.4395365702
246	0.4395083889
247	0.4394906379
248	0.4394574144
249	0.4394075589
250	0.4393712938
251	0.4393275519
252	0.4393015747
253	0.4392826877
254	0.4392586738
255	0.4392351379
256	0.4391903924
257	0.4391642897
258	0.4391512689
259	0.4391338399
260	0.4391139933
261	0.4390892639
262	0.4390501946
263	0.4390290392
264	0.4390030484
265	0.4389834018
266	0.4389638197
267	0.4389313083
268	0.4389070502
269	0.4388839247
270	0.4388634237
271	0.4388342489
272	0.4388054369
273	0.4387779643
274	0.4387533332
275	0.4387236023
276	0.4386941732
277	0.4386622314
278	0.4386454129
279	0.4386113586
280	0.4385814243
281	0.4385556776
282	0.4385379469
283	0.4385115662
284	0.4384873386
285	0.4384498461
286	0.4384321662
287	0.4384131775
288	0.4383835042
289	0.4383595513
290	0.4383228861
291	0.4382847053
292	0.4382526143
293	0.4382252299
294	0.4382056105
295	0.4381890903
296	0.4381611905
297	0.4381266852
298	0.4381074626
299	0.4380869683
300	0.4380603129
301	0.4380285238
302	0.4380027839
303	0.4379853075
304	0.437965115
305	0.4379392734
306	0.4379183146
307	0.4378961724
308	0.4378573303
309	0.4378396539
310	0.4378042942
311	0.4377835965
312	0.4377447408
313	0.4377218153
314	0.4376936646
315	0.4376513129
316	0.4376111281
317	0.4375877855
318	0.4375521715
319	0.4375316535
320	0.4375153978
321	0.4374814216
322	0.4374551697
323	0.4374378459
324	0.4374140455
325	0.4373933851
326	0.437371799
327	0.4373461812
328	0.4373301663
329	0.4373186306
330	0.4372974548
331	0.4372683885
332	0.4372348701
333	0.4372045661
334	0.4371845567
335	0.43714957
336	0.4371273499
337	0.4370891385
338	0.4370645176
339	0.4370381198
340	0.4370186395
341	0.437001709
342	0.4369848938
343	0.4369620667
344	0.4369453328
345	0.4369317525
346	0.4369051073
347	0.4368906148
348	0.4368640611
349	0.4368440552
350	0.4368189528
351	0.4367983805
352	0.4367781304
353	0.4367571445
354	0.4367429572
355	0.4367250909
356	0.4366999037
357	0.4366753777
358	0.4366535509
359	0.4366325039
360	0.4366189473
361	0.4365927734
362	0.4365733066
363	0.4365585632
364	0.4365333421
365	0.4365127563
366	0.4364939134
367	0.4364581638
368	0.4364312066
369	0.4363955044
370	0.4363686286
371	0.4363440382
372	0.4363202786
373	0.4362917582
374	0.4362593113
375	0.4362342936
376	0.4362042948
377	0.4361864658
378	0.4361643914
379	0.4361257494
380	0.436094279
381	0.4360592719
382	0.4360409173
383	0.4360112745
384	0.4359975077
385	0.4359795058
386	0.435949134
387	0.4359281108
388	0.4359033237
389	0.4358899231
390	0.4358692932
391	0.4358511251
392	0.4358406203
393	0.4358080173
394	0.4357783203
395	0.43575786
396	0.4357291768
397	0.435706292
398	0.4356946072
399	0.4356774055
400	0.4356592102
401	0.4356329414
402	0.4356189507
403	0.435595988
404	0.4355765483
405	0.4355509169
406	0.4355227797
407	0.4355053779
408	0.4354947001
409	0.4354775018
410	0.4354656169
411	0.4354598389
412	0.4354310574
413	0.4354074843
414	0.4353892042
415	0.4353751119
416	0.4353445468
417	0.4353350694
418	0.4353142768
419	0.4352961392
420	0.4352740038
421	0.4352536655
422	0.4352347751
423	0.4352236803
424	0.4352021688
425	0.4351839837
426	0.4351707187
427	0.435154558
428	0.4351224196
429	0.435100569
430	0.4350848287
431	0.435063836
432	0.4350456543
433	0.4350302667
434	0.435007175
435	0.4349812283
436	0.4349612359
437	0.4349457601
438	0.4349181383
439	0.4348970269
440	0.4348791165
441	0.4348662109
442	0.4348426446
443	0.4348194478
444	0.4347992486
445	0.4347762349
446	0.4347506409
447	0.4347179125
448	0.4346853366
449	0.4346758965
450	0.434650611
451	0.4346261597
452	0.434598348
453	0.4345765449
454	0.4345509881
455	0.4345282016
456	0.4345064324
457	0.4344837918
458	0.434466217
459	0.4344328071
460	0.4344168701
461	0.4343996006
462	0.4343619249
463	0.434352278
464	0.4343357815
465	0.4343118998
466	0.4342936537
467	0.4342776489
468	0.4342591858
469	0.434230245
470	0.4342019823
471	0.4341770087
472	0.4341543172
473	0.4341370884
474	0.4341146342
475	0.43409434
476	0.4340796373
477	0.4340678779
478	0.4340533447
479	0.4340320774
480	0.4340187276
481	0.4339946493
482	0.4339785767
483	0.4339686313
484	0.4339421048
485	0.433924686
486	0.433890191
487	0.4338545091
488	0.4338412645
489	0.4338260023
490	0.4338157247
491	0.4337898085
492	0.433776062
493	0.4337503255
494	0.4337372369
495	0.4337186483
496	0.433692688
497	0.4336602715
498	0.4336457452
499	0.433624688
500	0.4336066861
501	0.4335963372
502	0.4335789388
503	0.4335446777
504	0.433534061
505	0.4335180596
506	0.4335041165
507	0.433491645
508	0.433470147
