iter	Passed	Remaining
0	70	70141
1	79	39477
2	82	27484
3	86	21627
4	93	18653
5	100	16568
6	105	14906
7	111	13808
8	116	12795
9	121	12033
10	127	11449
11	132	10942
12	138	10494
13	143	10136
14	150	9857
15	155	9562
16	160	9257
17	166	9072
18	171	8857
19	177	8709
20	182	8525
21	188	8387
22	193	8231
23	198	8075
24	204	7961
25	208	7823
26	214	7736
27	220	7663
28	225	7556
29	231	7471
30	237	7418
31	242	7336
32	248	7274
33	254	7227
34	260	7185
35	267	7151
36	272	7084
37	278	7049
38	284	7011
39	289	6942
40	294	6898
41	300	6858
42	305	6794
43	311	6771
44	317	6733
45	322	6696
46	329	6674
47	334	6628
48	340	6602
49	346	6583
50	354	6600
51	361	6587
52	367	6560
53	372	6534
54	379	6526
55	385	6500
56	396	6555
57	405	6589
58	413	6588
59	420	6587
60	426	6562
61	433	6553
62	441	6573
63	453	6633
64	458	6596
65	464	6578
66	471	6559
67	476	6529
68	482	6511
69	487	6479
70	493	6460
71	499	6435
72	503	6396
73	509	6378
74	514	6348
75	520	6325
76	525	6298
77	531	6279
78	537	6262
79	542	6243
80	548	6225
81	553	6199
82	558	6174
83	564	6150
84	569	6129
85	575	6111
86	580	6093
87	587	6083
88	592	6066
89	598	6056
90	604	6034
91	610	6023
92	614	5997
93	620	5984
94	627	5973
95	632	5960
96	638	5947
97	643	5926
98	648	5905
99	654	5886
100	659	5868
101	664	5851
102	670	5842
103	676	5824
104	680	5802
105	685	5785
106	691	5768
107	697	5757
108	703	5748
109	708	5735
110	714	5724
111	720	5711
112	725	5692
113	731	5682
114	741	5705
115	746	5687
116	751	5670
117	757	5659
118	763	5648
119	767	5627
120	772	5614
121	778	5603
122	782	5582
123	788	5573
124	794	5560
125	800	5551
126	806	5540
127	811	5525
128	816	5512
129	822	5501
130	828	5493
131	834	5487
132	840	5481
133	845	5464
134	851	5454
135	857	5446
136	862	5435
137	868	5427
138	874	5419
139	881	5416
140	887	5406
141	892	5394
142	897	5381
143	902	5364
144	907	5352
145	912	5337
146	918	5328
147	924	5320
148	928	5305
149	933	5289
150	938	5278
151	943	5264
152	949	5258
153	954	5243
154	960	5236
155	965	5222
156	970	5213
157	976	5204
158	982	5198
159	989	5196
160	996	5193
161	1014	5247
162	1028	5283
163	1035	5277
164	1073	5434
165	1078	5420
166	1083	5402
167	1088	5388
168	1094	5380
169	1100	5373
170	1105	5357
171	1111	5350
172	1118	5348
173	1124	5338
174	1130	5331
175	1136	5320
176	1142	5314
177	1149	5306
178	1155	5298
179	1161	5290
180	1167	5282
181	1173	5274
182	1179	5266
183	1186	5260
184	1191	5249
185	1197	5240
186	1203	5231
187	1209	5223
188	1215	5215
189	1221	5205
190	1227	5198
191	1233	5190
192	1238	5180
193	1245	5176
194	1252	5168
195	1257	5160
196	1262	5147
197	1269	5140
198	1274	5131
199	1280	5122
200	1287	5116
201	1293	5110
202	1300	5104
203	1306	5097
204	1313	5092
205	1319	5084
206	1325	5077
207	1331	5069
208	1337	5061
209	1343	5053
210	1349	5046
211	1355	5038
212	1361	5031
213	1367	5024
214	1374	5018
215	1380	5012
216	1386	5004
217	1392	4996
218	1398	4988
219	1404	4981
220	1410	4973
221	1416	4965
222	1422	4957
223	1428	4948
224	1433	4938
225	1439	4930
226	1445	4922
227	1451	4914
228	1457	4906
229	1463	4899
230	1469	4892
231	1475	4885
232	1481	4878
233	1487	4870
234	1494	4864
235	1500	4856
236	1506	4850
237	1512	4842
238	1529	4868
239	1535	4863
240	1544	4863
241	1550	4856
242	1557	4850
243	1563	4845
244	1569	4837
245	1575	4829
246	1581	4821
247	1587	4813
248	1593	4805
249	1599	4798
250	1605	4790
251	1611	4782
252	1616	4774
253	1623	4767
254	1629	4759
255	1635	4751
256	1640	4742
257	1646	4734
258	1652	4726
259	1657	4718
260	1664	4711
261	1670	4704
262	1675	4695
263	1681	4687
264	1687	4680
265	1693	4673
266	1699	4665
267	1705	4658
268	1711	4650
269	1717	4643
270	1723	4635
271	1729	4627
272	1734	4620
273	1741	4613
274	1746	4603
275	1752	4598
276	1760	4594
277	1767	4589
278	1774	4584
279	1780	4577
280	1786	4570
281	1792	4562
282	1798	4557
283	1804	4548
284	1809	4539
285	1815	4532
286	1821	4526
287	1827	4518
288	1834	4512
289	1839	4504
290	1845	4496
291	1851	4488
292	1857	4482
293	1863	4474
294	1868	4466
295	1874	4459
296	1879	4448
297	1885	4440
298	1890	4432
299	1897	4426
300	1902	4418
301	1907	4409
302	1913	4402
303	1920	4396
304	1926	4390
305	1932	4382
306	1938	4376
307	1944	4369
308	1950	4361
309	1956	4353
310	1962	4346
311	1970	4345
312	1976	4338
313	1982	4330
314	1988	4324
315	1994	4317
316	2000	4310
317	2007	4305
318	2014	4299
319	2019	4291
320	2025	4284
321	2031	4277
322	2037	4270
323	2043	4263
324	2049	4256
325	2054	4248
326	2060	4240
327	2065	4232
328	2071	4224
329	2077	4217
330	2083	4211
331	2089	4205
332	2095	4197
333	2101	4190
334	2111	4191
335	2117	4184
336	2123	4177
337	2129	4170
338	2135	4163
339	2141	4156
340	2147	4149
341	2153	4143
342	2159	4136
343	2165	4129
344	2171	4122
345	2177	4115
346	2183	4109
347	2189	4102
348	2195	4096
349	2201	4088
350	2207	4082
351	2213	4074
352	2219	4068
353	2226	4062
354	2232	4055
355	2238	4049
356	2246	4045
357	2252	4039
358	2258	4032
359	2264	4026
360	2270	4018
361	2276	4011
362	2282	4005
363	2288	3999
364	2294	3992
365	2301	3986
366	2307	3979
367	2312	3972
368	2318	3963
369	2324	3957
370	2330	3950
371	2336	3944
372	2342	3937
373	2348	3930
374	2354	3924
375	2360	3918
